ID	NAMES	EQUATION
1424	PAS_c131_0017, PAS_chr2-1_0739, PAS_chr1-3_0054	909[0] 541[0] 813[0] => Cx_1[1]
1425	PAS_chr1-1_0050, PAS_chr1-1_0202, PAS_chr1-4_0593, PAS_chr2-2_0294	900[0] 874[0] 685[0] 446[0] => Cx_2[1]
1426	PAS_chr1-1_0191, PAS_chr1-1_0484, PAS_chr1-4_0445, PAS_chr1-4_0465, PAS_chr2-1_0612, PAS_chr2-2_0165, PAS_chr3_0460, PAS_chr3_1236, PAS_chr3_1236, PAS_chr4_0990	877[0] 822[0] 712[0] 706[0] 567[0] 472[0] 317[0] 182[0] 182[0] 11[0] => Cx_3[1]
1427	PAS_chr1-1_0282, PAS_chr4_0197	861[0] 148[0] => Cx_4[1]
1428	PAS_chr1-3_0248, PAS_chr2-1_0423, PAS_chr2-2_0346, PAS_chr3_0741, PAS_chr3_1142, PAS_chr4_0610	788[0] 592[0] 434[0] 268[0] 188[0] 70[0] => Cx_5[1]
1429	PAS_chr1-4_0047, PAS_chr2-1_0402, PAS_chr4_0308	775[0] 597[0] 120[0] => Cx_6[1]
1430	PAS_chr1-4_0295, PAS_chr1-1_0008	735[0] 905[0] => Cx_7[1]
1431	PAS_chr2-1_0120, PAS_chr4_0580	648[0] 75[0] => Cx_8[1]
1432	PAS_chr2-1_0456, PAS_chr3_0808, PAS_chr4_0120, PAS_chr2-2_0366, PAS_chr2-2_0235, PAS_chr3_0585, PAS_chr3_0619, PAS_chr2-2_0462, PAS_chr2-1_0359, PAS_chr1-4_0575, PAS_chr1-4_0371, PAS_chr4_0535, PAS_chr4_0355, PAS_chr3_1188, PAS_chr4_0142, PAS_chr1-4_0039	587[0] 254[0] 164[0] 430[0] 460[0] 295[0] 289[0] 417[0] 606[0] 687[0] 724[0] 80[0] 106[0] 187[0] 160[0] 776[0] => Cx_9[1]
1433	PAS_chr2-1_0580, PAS_chr1-1_0233	569[0] 869[0] => Cx_10[1]
1434	PAS_chr2-1_0850, PAS_chr1-1_0322, PAS_chr1-1_0322, PAS_chr1-4_0313	519[0] 854[0] 854[0] 732[0] => Cx_11[1]
1435	PAS_chr2-1_0864, PAS_chr4_0228	515[0] 141[0] => Cx_12[1]
1436	PAS_chr2-2_0293, PAS_chr2-2_0290	447[0] 448[0] => Cx_13[1]
1437	PAS_chr3_0144, PAS_chr4_0276	389[0] 127[0] => Cx_14[1]
1438	PAS_chr3_0704, PAS_chr4_0990, PAS_chr1-1_0195, PAS_chr3_1236, PAS_chr2-1_0687, PAS_c131_0021, PAS_chr3_1040, PAS_chr1-3_0066, PAS_chr2-2_0227, PAS_chr4_0255, PAS_chr4_0674, PAS_chr1-1_0309, PAS_chr2-1_0246	273[0] 11[1] 876[0] 182[1] 550[0] 908[0] 201[0] 812[0] 462[0] 133[0] 61[0] 857[0] 622[0] => Cx_15[2]
1439	PAS_chr3_0733, PAS_FragB_0040	269[0] 5[0] => Cx_16[1]
1440	PAS_chr3_0765, PAS_chr3_0703, PAS_chr2-1_0868, PAS_chr2-1_0163, PAS_chr2-1_0100, PAS_chr2-1_0697, PAS_chr2-2_0349, PAS_chr1-4_0703, PAS_chr4_0229, PAS_chr1-3_0083	261[0] 274[0] 514[0] 639[0] 654[0] 547[0] 433[0] 668[0] 140[0] 808[0] => Cx_17[1]
1441	PAS_chr3_0799, PAS_chr4_0138	255[0] 161[0] => Cx_18[1]
1442	PAS_chr3_0824, PAS_chr3_0615, PAS_chr2-1_0363, PAS_chr4_0422, PAS_chr2-2_0266, PAS_chr2-1_0115, PAS_chr2-1_0226, PAS_chr2-1_0344, PAS_chr2-2_0092, PAS_chr3_0428, PAS_chr3_0745, PAS_chr4_0449, PAS_chr4_0744	251[0] 290[0] 604[0] 92[0] 456[0] 649[0] 626[0] 610[0] 490[0] 327[0] 265[0] 89[0] 41[0] => Cx_19[1]
1443	PAS_chr3_0831, PAS_chr2-2_0407	249[0] 425[0] => Cx_20[1]
1444	PAS_chr3_0942, PAS_chr1-1_0259, PAS_chr3_0568, PAS_chr3_0651, PAS_chr3_0574, PAS_chr2-2_0431, PAS_chr2-2_0387, PAS_chr2-1_0125, PAS_chr2-1_0554, PAS_chr4_0826, PAS_chr1-4_0324, PAS_chr4_0925, PAS_chr4_0697, PAS_chr4_0302, PAS_chr4_0239, PAS_chr1-4_0645, PAS_chr4_0735	224[0] 866[0] 300[0] 281[0] 297[0] 421[0] 427[0] 645[0] 571[0] 26[0] 730[0] 16[0] 55[0] 121[0] 138[0] 675[0] 45[0] => Cx_21[1]
1445	PAS_chr3_0942, PAS_chr1-1_0259, PAS_chr3_0568, PAS_chr3_0651, PAS_chr3_0574, PAS_chr2-2_0431, PAS_chr2-2_0387, PAS_chr2-1_0125, PAS_chr2-1_0554, PAS_chr4_0826, PAS_chr1-4_0324, PAS_chr4_0925, PAS_chr4_0697, PAS_chr4_0302, PAS_chr4_0239, PAS_chr4_0735	224[0] 866[0] 300[0] 281[0] 297[0] 421[0] 427[0] 645[0] 571[0] 26[0] 730[0] 16[0] 55[0] 121[0] 138[0] 45[0] => Cx_22[1]
1446	PAS_chr3_1111, PAS_chr2-2_0283, PAS_chr4_0733, PAS_chr1-4_0487, PAS_chr3_0424	195[0] 452[0] 46[0] 701[0] 329[0] => Cx_23[1]
1447	PAS_chr4_0419, PAS_chr4_0732	93[0] 47[0] => Cx_24[1]
1448	PAS_chr4_0736, PAS_chr4_0731, PAS_chr4_0226, PAS_chr4_0300, PAS_chr4_0387	44[0] 48[0] 142[0] 122[0] 102[0] => Cx_25[1]
r1	tRNA-dihydrouridine synthase 	m16[0] m92[0] m425[0] => m91[0] m456[0]
r10	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	m91[0] m648[0] => m92[0] m647[0]
r100	L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)	m138[0] m280[0] => m288[0]
r1000	L-Tyrosine:tRNA(Tyr) ligase (AMP-forming)	m1[0] m274[0] m460[0] => m23[0] m94[0] m461[0]
r1001	L-Methionine:tRNAMet ligase (AMP-forming)	m74[0] m511[0] m512[0] => m123[0] m372[0] m513[0]
r1002	L-Methionine:tRNAMet ligase (AMP-forming)	m1[0] m343[0] m514[0] => m23[0] m94[0] m515[0]
r1003	L-Serine:tRNA(Ser) ligase (AMP-forming)	m74[0] m321[0] m525[0] => m123[0] m372[0] m526[0]
r1004	L-Serine:tRNA(Ser) ligase (AMP-forming)	m1[0] m279[0] m527[0] => m23[0] m94[0] m528[0]
r1005	L-serine:tRNASec ligase (AMP-forming)	m74[0] m321[0] m558[0] => m123[0] m372[0] m559[0]
r1006	L-serine:tRNASec ligase (AMP-forming)	m1[0] m279[0] m560[0] => m23[0] m94[0] m561[0]
r1007	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	m1[0] m156[0] m550[0] => m23[0] m94[0] m551[0]
r1008	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	m74[0] m159[0] m552[0] => m123[0] m372[0] m553[0]
r1009	Glycine:tRNA(Gly) ligase (AMP-forming)	m1[0] m210[0] m486[0] => m23[0] m94[0] m487[0]
r101	L-Cysteine:oxygen oxidoreductase	m138[0] m331[0] => m335[0]
r1010	Glycine:tRNA(Gly) ligase (AMP-forming)	m74[0] m311[0] m488[0] => m123[0] m372[0] m489[0]
r1011	L-Proline:tRNA(Pro) ligase (AMP-forming)	m1[0] m185[0] m521[0] => m23[0] m94[0] m522[0]
r1012	L-Proline:tRNA(Pro) ligase (AMP-forming)	m74[0] m186[0] m523[0] => m123[0] m372[0] m524[0]
r1013	L-Cysteine:tRNA(Cys) ligase (AMP-forming)	m1[0] m331[0] m477[0] => m23[0] m94[0] m478[0]
r1014	L-Cysteine:tRNA(Cys) ligase (AMP-forming)	m74[0] m334[0] m479[0] => m123[0] m372[0] m480[0]
